raw_timestamp,relative_to_video_first_frame_timestamp,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_projected_to_left_view_x,gaze_projected_to_left_view_y,gaze_projected_to_right_view_x,gaze_projected_to_right_view_y,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_pupil_size,left_status,left_projected_x,left_projected_y,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_pupil_size,right_status,right_projected_x,right_projected_y
1000006758855840549,521640349,2.000000,283638,1.000000,2,-0.040661,0.070425,0.996688,0.000000,0.000000,0.000000,0.148045,0.069474,-0.221421,0.069405,-0.026183,0.055805,0.998098,-0.030687,0.000000,0.000000,0.146930,2,0.129610,0.054981,-0.055075,0.084968,0.994860,0.030687,0.000000,0.000000,0.128134,2,-0.203097,0.083884
1000006758865859960,531659760,2.000000,283639,1.000000,2,-0.041083,0.069084,0.996765,0.000000,0.000000,0.000000,0.147565,0.068146,-0.221893,0.068079,-0.027193,0.055461,0.998091,-0.030687,0.000000,0.000000,0.146845,2,0.128461,0.054643,-0.054915,0.082640,0.995065,0.030687,0.000000,0.000000,0.128090,2,-0.202903,0.081569
1000006758875879471,541679271,2.000000,283640,1.000000,2,-0.041025,0.068176,0.996829,0.000000,0.000000,0.000000,0.147632,0.067247,-0.221822,0.067180,-0.027558,0.054972,0.998108,-0.030687,0.000000,0.000000,0.146759,2,0.128045,0.054160,-0.054438,0.081318,0.995200,0.030687,0.000000,0.000000,0.127854,2,-0.202354,0.080254
1000006758885899663,551699463,2.000000,283641,0.998118,2,-0.040745,0.066888,0.996928,0.000000,0.000000,0.000000,0.147953,0.065970,-0.221497,0.065905,-0.027505,0.054469,0.998137,-0.030687,0.000000,0.000000,0.146628,2,0.128107,0.053664,-0.053935,0.079250,0.995395,0.030687,0.000000,0.000000,0.127369,2,-0.201771,0.078199
1000006758895919324,561719124,2.000000,283642,0.994595,2,-0.041098,0.066775,0.996921,0.000000,0.000000,0.000000,0.147550,0.065860,-0.221897,0.065794,-0.027167,0.054063,0.998168,-0.030687,0.000000,0.000000,0.146637,2,0.128492,0.053261,-0.054974,0.079428,0.995324,0.030687,0.000000,0.000000,0.127094,2,-0.202954,0.078380
1000006758905939319,571739119,2.000000,283643,0.988305,2,-0.040174,0.066102,0.997004,0.000000,0.000000,0.000000,0.148604,0.065190,-0.220844,0.065125,-0.026207,0.053969,0.998199,-0.030687,0.000000,0.000000,0.146597,2,0.129586,0.053168,-0.054088,0.078178,0.995471,0.030687,0.000000,0.000000,0.126693,2,-0.201940,0.077136
1000006758915958859,581758659,2.000000,283644,0.988453,2,-0.039558,0.065826,0.997047,0.000000,0.000000,0.000000,0.149306,0.064916,-0.220144,0.064851,-0.026010,0.054047,0.998200,-0.030687,0.000000,0.000000,0.146581,2,0.129810,0.053244,-0.053058,0.077554,0.995575,0.030687,0.000000,0.000000,0.126563,2,-0.200766,0.076512
1000006758925978366,591778166,2.000000,283645,0.979927,2,-0.040016,0.067187,0.996938,0.000000,0.000000,0.000000,0.148783,0.066265,-0.220671,0.066199,-0.025902,0.054125,0.998198,-0.030687,0.000000,0.000000,0.146570,2,0.129933,0.053322,-0.054074,0.080186,0.995312,0.030687,0.000000,0.000000,0.126416,2,-0.201934,0.079129
1000006758935997582,601797382,2.000000,283646,0.980175,2,-0.039476,0.066373,0.997014,0.000000,0.000000,0.000000,0.149399,0.065457,-0.220053,0.065392,-0.025945,0.054135,0.998196,-0.030687,0.000000,0.000000,0.146542,2,0.129884,0.053332,-0.052957,0.078555,0.995502,0.030687,0.000000,0.000000,0.125992,2,-0.200656,0.077505
1000006758946017313,611817113,2.000000,283647,0.977650,2,-0.038660,0.066423,0.997042,0.000000,0.000000,0.000000,0.150330,0.065505,-0.219127,0.065439,-0.025891,0.054991,0.998151,-0.030687,0.000000,0.000000,0.146763,2,0.129945,0.054176,-0.051385,0.077807,0.995643,0.030687,0.000000,0.000000,0.125893,2,-0.198865,0.076756
1000006758956037142,621836942,2.000000,283648,0.974846,2,-0.038051,0.065754,0.997110,0.000000,0.000000,0.000000,0.151024,0.064841,-0.218432,0.064776,-0.025650,0.055449,0.998132,-0.030687,0.000000,0.000000,0.146891,2,0.130218,0.054628,-0.050413,0.076018,0.995831,0.030687,0.000000,0.000000,0.125717,2,-0.197752,0.074978
1000006758966056877,631856677,2.000000,283649,0.967261,2,-0.036867,0.065558,0.997167,0.000000,0.000000,0.000000,0.152373,0.064644,-0.217088,0.064580,-0.023923,0.055733,0.998159,-0.030687,0.000000,0.000000,0.146998,2,0.132184,0.054906,-0.049772,0.075345,0.995915,0.030687,0.000000,0.000000,0.125485,2,-0.197021,0.074308
1000006758976076522,641876322,2.000000,283650,0.970613,2,-0.036688,0.065521,0.997176,0.000000,0.000000,0.000000,0.152577,0.064607,-0.216884,0.064543,-0.024477,0.056163,0.998122,-0.030687,0.000000,0.000000,0.147164,2,0.131553,0.055333,-0.048865,0.074843,0.995997,0.030687,0.000000,0.000000,0.125208,2,-0.195988,0.073808
1000006758986095939,651895739,2.000000,283651,0.959451,2,-0.037525,0.066035,0.997111,0.000000,0.000000,0.000000,0.151623,0.065118,-0.217836,0.065053,-0.025985,0.056944,0.998039,-0.030687,0.000000,0.000000,0.147293,2,0.129834,0.056106,-0.049032,0.075093,0.995970,0.030687,0.000000,0.000000,0.125233,2,-0.196179,0.074056
1000006758996115375,661915175,2.000000,283652,0.955952,2,-0.036776,0.066432,0.997113,0.000000,0.000000,0.000000,0.152476,0.065509,-0.216989,0.065444,-0.024284,0.057293,0.998062,-0.030687,0.000000,0.000000,0.147382,2,0.131771,0.056448,-0.049234,0.075536,0.995927,0.030687,0.000000,0.000000,0.125235,2,-0.196410,0.074496
1000006759006135303,671935103,2.000000,283653,0.962706,2,-0.036891,0.066338,0.997115,0.000000,0.000000,0.000000,0.152345,0.065416,-0.217118,0.065351,-0.024449,0.057679,0.998036,-0.030687,0.000000,0.000000,0.147428,2,0.131583,0.056830,-0.049299,0.074963,0.995967,0.030687,0.000000,0.000000,0.125086,2,-0.196481,0.073928
1000006759016154958,681954758,2.000000,283654,0.999290,2,-0.036967,0.066362,0.997111,0.000000,0.000000,0.000000,0.152259,0.065440,-0.217205,0.065375,-0.024621,0.057635,0.998034,-0.030687,0.000000,0.000000,0.147464,2,0.131387,0.056787,-0.049279,0.075055,0.995961,0.030687,0.000000,0.000000,0.125089,2,-0.196459,0.074019
1000006759026174549,691974349,2.000000,283655,1.000000,2,-0.036709,0.066048,0.997141,0.000000,0.000000,0.000000,0.152553,0.065128,-0.216910,0.065064,-0.024199,0.056892,0.998087,-0.030687,0.000000,0.000000,0.147219,2,0.131869,0.056052,-0.049183,0.075169,0.995957,0.030687,0.000000,0.000000,0.125079,2,-0.196350,0.074132
1000006759036193811,701993611,2.000000,283656,1.000000,2,-0.036692,0.066016,0.997144,0.000000,0.000000,0.000000,0.152572,0.065097,-0.216891,0.065032,-0.024111,0.056789,0.998095,-0.030687,0.000000,0.000000,0.147252,2,0.131969,0.055950,-0.049238,0.075208,0.995951,0.030687,0.000000,0.000000,0.125082,2,-0.196413,0.074171
1000006759046213281,712013081,2.000000,283657,1.000000,2,-0.036766,0.065928,0.997147,0.000000,0.000000,0.000000,0.152488,0.065009,-0.216975,0.064945,-0.024135,0.056766,0.998096,-0.030687,0.000000,0.000000,0.147296,2,0.131941,0.055928,-0.049362,0.075053,0.995957,0.030687,0.000000,0.000000,0.124972,2,-0.196553,0.074018
1000006759056232657,722032457,2.000000,283658,1.000000,2,-0.036594,0.065579,0.997176,0.000000,0.000000,0.000000,0.152684,0.064664,-0.216778,0.064599,-0.023838,0.056328,0.998128,-0.030687,0.000000,0.000000,0.147257,2,0.132281,0.055494,-0.049314,0.074794,0.995979,0.030687,0.000000,0.000000,0.124920,2,-0.196498,0.073760
1000006759066251964,732051764,2.000000,283659,1.000000,2,-0.037083,0.065996,0.997131,0.000000,0.000000,0.000000,0.152127,0.065078,-0.217334,0.065014,-0.024730,0.056050,0.998122,-0.030687,0.000000,0.000000,0.147302,2,0.131265,0.055221,-0.049399,0.075904,0.995891,0.030687,0.000000,0.000000,0.124921,2,-0.196599,0.074861
1000006759076271700,742071500,2.000000,283660,1.000000,2,-0.036390,0.065557,0.997185,0.000000,0.000000,0.000000,0.152917,0.064641,-0.216546,0.064577,-0.023910,0.055749,0.998158,-0.030687,0.000000,0.000000,0.147337,2,0.132199,0.054923,-0.048833,0.075326,0.995963,0.030687,0.000000,0.000000,0.124845,2,-0.195953,0.074286
