epoch,HMD_rotation,gaze_forward
1660220684655894,0.8862002870395934,"[0.0, 0.0, 0.0]"
1660220684672392,0.8861778972830698,"[0.0, 0.0, 0.0]"
1660220684689397,0.8861395685216567,"[0.0, 0.0, 0.0]"
1660220684705895,0.8861795998436299,"[0.0, 0.0, 0.0]"
1660220684722396,0.8861792837884902,"[0.0, 0.0, 0.0]"
1660220684739396,0.8862500624226539,"[0.0, 0.0, 0.0]"
1660220684755892,0.8862011510020597,"[0.0, 0.0, 0.0]"
1660220684772893,0.8862052788656894,"[0.0, 0.0, 0.0]"
1660220684789396,0.8862429712993458,"[0.0, 0.0, 0.0]"
1660220684805893,0.8862410377313632,"[0.0, 0.0, 0.0]"
1660220684822394,0.8862345397451065,"[0.0, 0.0, 0.0]"
1660220684839397,0.8863037786225136,"[0.0, 0.0, 0.0]"
1660220684855897,0.8862685396712546,"[0.0, 0.0, 0.0]"
1660220684872394,0.8862858659870034,"[0.0, 0.0, 0.0]"
1660220684889395,0.8862895337918265,"[0.0, 0.0, 0.0]"
1660220684905895,0.8862495072917813,"[0.0, 0.0, 0.0]"
1660220684922396,0.8862575741336969,"[0.0, 0.0, 0.0]"
1660220684939399,0.8862417710603784,"[0.0, 0.0, 0.0]"
1660220684955896,0.8862754124407154,"[0.0, 0.0, 0.0]"
1660220684972396,0.8862588934807931,"[0.0, 0.0, 0.0]"
1660220684989400,0.8862571124731131,"[0.0, 0.0, 0.0]"
1660220685005902,0.8862407715382669,"[0.0, 0.0, 0.0]"
1660220685022400,0.8862645318612022,"[0.0, 0.0, 0.0]"
1660220685039403,0.8862937212635994,"[0.0, 0.0, 0.0]"
1660220685055901,0.8862825152445555,"[0.0, 0.0, 0.0]"
1660220685072398,0.8863067685613008,"[0.0, 0.0, 0.0]"
1660220685089401,0.8862831998748967,"[0.0, 0.0, 0.0]"
1660220685105899,0.8862303204220942,"[0.0, 0.0, 0.0]"
1660220685122402,0.8862146293657913,"[0.0, 0.0, 0.0]"
1660220685139399,0.8862342088004257,"[0.0, 0.0, 0.0]"
1660220685155899,0.8862834176343751,"[0.0, 0.0, 0.0]"
1660220685172404,0.8863144048582868,"[0.0, 0.0, 0.0]"
1660220685189403,0.8863272823748435,"[0.0, 0.0, 0.0]"
1660220685205904,0.8862858751171769,"[0.0, 0.0, 0.0]"
1660220685222400,0.8863442618496989,"[0.0, 0.0, 0.0]"
1660220685239401,0.8863162764241733,"[0.0, 0.0, 0.0]"
1660220685255901,0.8862649216039706,"[0.0, 0.0, 0.0]"
1660220685272406,0.8862851175767378,"[0.0, 0.0, 0.0]"
1660220685289405,0.8862347261865097,"[0.0, 0.0, 0.0]"
1660220685305902,0.8862035823155382,"[0.0, 0.0, 0.0]"
1660220685322402,0.8862120305757946,"[0.0, 0.0, 0.0]"
1660220685339406,0.8862338485479377,"[0.0, 0.0, 0.0]"
1660220685355903,0.8861670832459342,"[0.0, 0.0, 0.0]"
1660220685372407,0.8861571116908415,"[0.0, 0.0, 0.0]"
1660220685389407,0.8861583825777708,"[0.0, 0.0, 0.0]"
1660220685405903,0.8861903860162472,"[0.0, 0.0, 0.0]"
1660220685422404,0.8861831184920405,"[0.0, 0.0, 0.0]"
1660220685439408,0.8861755839738448,"[0.0, 0.0, 0.0]"
1660220685455907,0.8861918501025123,"[0.0, 0.0, 0.0]"
1660220685472409,0.8862564411769216,"[0.0, 0.0, 0.0]"
1660220685489409,0.8862374149938508,"[0.0, 0.0, 0.0]"
1660220685505905,0.8862979749454181,"[0.0, 0.0, 0.0]"
1660220685522405,0.8862936736103868,"[0.0, 0.0, 0.0]"
1660220685539406,0.8863244297792449,"[0.0, 0.0, 0.0]"
1660220685555909,0.8863195043954528,"[0.0, 0.0, 0.0]"
1660220685572406,0.8863280707958906,"[0.0, 0.0, 0.0]"
1660220685589410,0.8862858452731934,"[0.0, 0.0, 0.0]"
1660220685605907,0.8862509035260909,"[0.0, 0.0, 0.0]"
1660220685622907,0.8862906532266218,"[0.0, 0.0, 0.0]"
1660220685639407,0.8862272608148207,"[0.0, 0.0, 0.0]"
1660220685655911,0.8862783063539235,"[0.0, 0.0, 0.0]"
1660220685672408,0.886206040153468,"[0.0, 0.0, 0.0]"
1660220685689412,0.8862041788126175,"[0.0, 0.0, 0.0]"
1660220685705913,0.8861769590957942,"[0.0, 0.0, 0.0]"
1660220685722409,0.8861946049598951,"[0.0, 0.0, 0.0]"
1660220685739413,0.8861774596317136,"[0.0, 0.0, 0.0]"
1660220685755912,0.8861890844040564,"[0.0, 0.0, 0.0]"
1660220685772410,0.8861567826254383,"[0.0, 0.0, 0.0]"
1660220685789410,0.8861503366808632,"[0.0, 0.0, 0.0]"
1660220685805913,0.8861817331390588,"[0.0, 0.0, 0.0]"
1660220685822410,0.8861567820176921,"[0.0, 0.0, 0.0]"
1660220685839416,0.8861792473092144,"[0.0, 0.0, 0.0]"
1660220685855911,0.8862035981269848,"[0.0, 0.0, 0.0]"
1660220685872411,0.8861546735031192,"[0.0, 0.0, 0.0]"
1660220685889415,0.8861910396169039,"[0.0, 0.0, 0.0]"
1660220685905912,0.8861701943821158,"[0.0, 0.0, 0.0]"
1660220685922419,0.8861687245821787,"[0.0, 0.0, 0.0]"
1660220685939416,0.8861098922927609,"[0.0, 0.0, 0.0]"
1660220685955913,0.8861377995191396,"[0.0, 0.0, 0.0]"
1660220685972413,0.8861373287551283,"[0.0, 0.0, 0.0]"
1660220685989414,0.8861405212067331,"[0.0, 0.0, 0.0]"
1660220686005917,0.8860823171040887,"[0.0, 0.0, 0.0]"
1660220686022417,0.8860730005255608,"[0.0, 0.0, 0.0]"
1660220686039418,0.8861216155167219,"[0.0, 0.0, 0.0]"
1660220686055914,0.8860937622231025,"[0.0, 0.0, 0.0]"
1660220686072415,0.8860474337832402,"[0.0, 0.0, 0.0]"
1660220686089419,0.8860427286479775,"[0.0, 0.0, 0.0]"
1660220686105918,0.8860348998478211,"[0.0, 0.0, 0.0]"
1660220686122415,0.8860671627123922,"[0.0, 0.0, 0.0]"
1660220686139421,0.8860081711465956,"[0.0, 0.0, 0.0]"
1660220686155916,0.8860322526990105,"[0.0, 0.0, 0.0]"
1660220686172417,0.8860662584198342,"[0.0, 0.0, 0.0]"
1660220686189420,0.8860873070268545,"[0.0, 0.0, 0.0]"
1660220686205917,0.8860799533751522,"[0.0, 0.0, 0.0]"
1660220686222417,0.8860865994840734,"[0.0, 0.0, 0.0]"
1660220686239421,0.886093919514661,"[0.0, 0.0, 0.0]"
1660220686255918,0.8861084944376082,"[0.0, 0.0, 0.0]"
1660220686272418,0.8861291972478912,"[0.0, 0.0, 0.0]"
1660220686289422,0.8861388126342351,"[0.0, 0.0, 0.0]"
1660220686305923,0.8861863226199731,"[0.0, 0.0, 0.0]"
1660220686322419,0.8861800234490164,"[0.0, 0.0, 0.0]"
1660220686339423,0.8861386263605318,"[0.0, 0.0, 0.0]"
1660220686355919,0.8861717407297998,"[0.0, 0.0, 0.0]"
1660220686372423,0.8862680842686116,"[0.0, 0.0, 0.0]"
1660220686389423,0.8861408888267177,"[0.0, 0.0, 0.0]"
1660220686405920,0.8861361703661288,"[0.0, 0.0, 0.0]"
1660220686422420,0.8861297207695057,"[0.0, 0.0, 0.0]"
1660220686439424,0.8860606498194125,"[0.0, 0.0, 0.0]"
1660220686455925,0.8860625386788258,"[0.0, 0.0, 0.0]"
1660220686472421,0.8860099413080168,"[0.0, 0.0, 0.0]"
1660220686489425,0.8860866425016581,"[0.0, 0.0, 0.0]"
1660220686505922,0.8860969771093591,"[0.0, 0.0, 0.0]"
1660220686522422,0.8860720130133168,"[0.0, 0.0, 0.0]"
1660220686539428,0.8861257920200044,"[0.0, 0.0, 0.0]"
1660220686555923,0.8861487182772856,"[0.0, 0.0, 0.0]"
1660220686572423,0.8861828768876397,"[0.0, 0.0, 0.0]"
1660220686589424,0.8862014749889853,"[0.0, 0.0, 0.0]"
1660220686605924,0.8861211843655148,"[0.0, 0.0, 0.0]"
1660220686622428,0.8861103223557976,"[0.0, 0.0, 0.0]"
1660220686639427,0.8861415978835944,"[0.0, 0.0, 0.0]"
1660220686655924,0.8861010585760752,"[0.0, 0.0, 0.0]"
1660220686672425,0.8861421620806534,"[0.0, 0.0, 0.0]"
1660220686689428,0.8861660274222368,"[0.0, 0.0, 0.0]"
1660220686705925,0.8861436357783561,"[0.0, 0.0, 0.0]"
