Carla Interface.time; Carla Interface.agents.Ego Vehicle_1.cruise_control_active; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.velocities_in_vehicle_frame; Carla Interface.agents.Ego Vehicle_2.cruise_control_active; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_2.velocities_in_vehicle_frame
1660219510381362700; True; [24.131620407104492, -65.43359375, 0.299468070268631, -90.2349853515625, -0.04871290549635887, 0.8016373515129089]; [13.723407745361328, 0.15927325189113617, 0.006181757431477308]; True; [-24.051233291625977, -65.44036102294922, 0.29509180784225464, -83.736328125, -0.12149539589881897, -0.1010437086224556]; [13.88497543334961, 0.004955552518367767, 0.012913502752780914]
1660219510392361200; True; [24.12591552734375, -65.66346740722656, 0.2992385923862457, -89.34990692138672, -0.03857690468430519, 0.8891478180885315]; [13.715474128723145, 0.1427939385175705, 0.0056551131419837475]; True; [-24.02615737915039, -65.67100524902344, 0.29475945234298706, -83.69695281982422, -0.12139977514743805, -0.0981140211224556]; [13.885026931762695, 0.004182681906968355, 0.01307041384279728]
1660219510402362700; True; [24.12591552734375, -65.66346740722656, 0.2992385923862457, -89.34990692138672, -0.03857690468430519, 0.8891478180885315]; [13.715474128723145, 0.1427939385175705, 0.0056551131419837475]; True; [-24.02615737915039, -65.67100524902344, 0.29475945234298706, -83.69695281982422, -0.12139977514743805, -0.0981140211224556]; [13.885026931762695, 0.004182681906968355, 0.01307041384279728]
1660219510412863500; True; [24.123186111450195, -65.89012145996094, 0.2990403175354004, -88.42908477783203, -0.027949132025241852, 0.9703070521354675]; [13.709074020385742, 0.1262722611427307, 0.005005502607673407]; True; [-24.001283645629883, -65.89840698242188, 0.2944342792034149, -83.65859985351562, -0.12143392860889435, -0.0957336500287056]; [13.885092735290527, 0.003464201930910349, 0.013162979856133461]
1660219510423364200; True; [24.123186111450195, -65.89012145996094, 0.2990403175354004, -88.42908477783203, -0.027949132025241852, 0.9703070521354675]; [13.709074020385742, 0.1262722611427307, 0.005005502607673407]; True; [-23.975990295410156, -66.12821197509766, 0.29411062598228455, -83.62041473388672, -0.12158419191837311, -0.0937500074505806]; [13.885056495666504, 0.003255684394389391, 0.013527274131774902]
1660219510433862700; True; [24.12363052368164, -66.11909484863281, 0.2988707721233368, -87.45406341552734, -0.016542717814445496, 1.0470706224441528]; [13.698787689208984, 0.1130261942744255, 0.0043660555966198444]; True; [-23.975990295410156, -66.12821197509766, 0.29411062598228455, -83.62041473388672, -0.12158419191837311, -0.0937500074505806]; [13.885056495666504, 0.003255684394389391, 0.013527274131774902]
1660219510444364300; True; [24.127521514892578, -66.3489990234375, 0.298733651638031, -86.4339828491211, -0.004398641642183065, 1.1184041500091553]; [13.689873695373535, 0.0989912822842598, 0.003596389200538397]; True; [-23.950424194335938, -66.35906219482422, 0.2937893271446228, -83.58279418945312, -0.12182324379682541, -0.09216305613517761]; [13.88504695892334, 0.0026622156146913767, 0.013839132152497768]
1660219510455863100; True; [24.127521514892578, -66.3489990234375, 0.298733651638031, -86.4339828491211, -0.004398641642183065, 1.1184041500091553]; [13.689873695373535, 0.0989912822842598, 0.003596389200538397]; True; [-23.950424194335938, -66.35906219482422, 0.2937893271446228, -83.58279418945312, -0.12182324379682541, -0.09216305613517761]; [13.88504695892334, 0.0026622156146913767, 0.013839132152497768]
1660219510465863200; True; [24.134979248046875, -66.57752990722656, 0.29863226413726807, -85.38347625732422, 0.008339660242199898, 1.1833230257034302]; [13.68338394165039, 0.0843718945980072, 0.002702663652598858]; True; [-23.924842834472656, -66.58866882324219, 0.29347169399261475, -83.54620361328125, -0.12213060259819031, -0.0910034030675888]; [13.885066032409668, 0.002423233352601528, 0.014029743149876595]
1660219510476360000; True; [24.146364212036133, -66.80756378173828, 0.2985682487487793, -84.292236328125, 0.021747320890426636, 1.2431004047393799]; [13.678963661193848, 0.07492562383413315, 0.0018627814715728164]; True; [-23.8989200592041, -66.81997680664062, 0.29315492510795593, -83.51034545898438, -0.12249260395765305, -0.090179443359375]; [13.885048866271973, 0.0018901512958109379, 0.014369131997227669]
