Carla Interface.time; Carla Interface.agents.Ego Vehicle_1.cruise_control_active; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.velocities_in_vehicle_frame; Carla Interface.agents.Ego Vehicle_2.cruise_control_active; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_2.velocities_in_vehicle_frame
1657708875436817700; True; [29.042211532592773, -12.389970779418945, 0.30141836404800415, -97.04861450195312, 0.1833495944738388, -0.1632080078125]; [7.602975845336914, 0.0015226047253236175, -0.014847547747194767]; True; [-29.182714462280273, -12.560461044311523, 0.30264270305633545, -87.00248718261719, -0.12341468036174774, -0.1611023098230362]; [8.326374053955078, 5.247770241112448e-05, 0.01468691322952509]
1657708875447729700; True; [29.042211532592773, -12.389970779418945, 0.30141836404800415, -97.04861450195312, 0.1833495944738388, -0.1632080078125]; [7.602975845336914, 0.0015226047253236175, -0.014847547747194767]; True; [-29.182714462280273, -12.560461044311523, 0.30264270305633545, -87.00248718261719, -0.12341468036174774, -0.1611023098230362]; [8.326374053955078, 5.247770241112448e-05, 0.01468691322952509]
1657708875458617400; True; [29.042211532592773, -12.389970779418945, 0.30141836404800415, -97.04861450195312, 0.1833495944738388, -0.1632080078125]; [7.602975845336914, 0.0015226047253236175, -0.014847547747194767]; True; [-29.182714462280273, -12.560461044311523, 0.30264270305633545, -87.00248718261719, -0.12341468036174774, -0.1611023098230362]; [8.326374053955078, 5.247770241112448e-05, 0.01468691322952509]
1657708875469529900; True; [29.042211532592773, -12.389970779418945, 0.30141836404800415, -97.04861450195312, 0.1833495944738388, -0.1632080078125]; [7.602975845336914, 0.0015226047253236175, -0.014847547747194767]; True; [-29.182714462280273, -12.560461044311523, 0.30264270305633545, -87.00248718261719, -0.12341468036174774, -0.1611023098230362]; [8.326374053955078, 5.247770241112448e-05, 0.01468691322952509]
1657708875480441800; True; [29.042211532592773, -12.389970779418945, 0.30141836404800415, -97.04861450195312, 0.1833495944738388, -0.1632080078125]; [7.602975845336914, 0.0015226047253236175, -0.014847547747194767]; True; [-29.182714462280273, -12.560461044311523, 0.30264270305633545, -87.00248718261719, -0.12341468036174774, -0.1611023098230362]; [8.326374053955078, 5.247770241112448e-05, 0.01468691322952509]
1657708875491355000; True; [28.979936599731445, -12.895030975341797, 0.3018641173839569, -97.06515502929688, 0.2506474256515503, -0.1629333347082138]; [7.470959663391113, 0.0017407333943992853, -0.021678900346159935]; True; [-29.15444564819336, -13.100333213806152, 0.30214470624923706, -87.00262451171875, -0.12475340068340302, -0.1604919284582138]; [8.325037956237793, 5.417356442194432e-05, 0.017083806917071342]
1657708875502267200; True; [28.979936599731445, -12.895030975341797, 0.3018641173839569, -97.06515502929688, 0.2506474256515503, -0.1629333347082138]; [7.470959663391113, 0.0017407333943992853, -0.021678900346159935]; True; [-29.15444564819336, -13.100333213806152, 0.30214470624923706, -87.00262451171875, -0.12475340068340302, -0.1604919284582138]; [8.325037956237793, 5.417356442194432e-05, 0.017083806917071342]
1657708875513205300; True; [28.979936599731445, -12.895030975341797, 0.3018641173839569, -97.06515502929688, 0.2506474256515503, -0.1629333347082138]; [7.470959663391113, 0.0017407333943992853, -0.021678900346159935]; True; [-29.15444564819336, -13.100333213806152, 0.30214470624923706, -87.00262451171875, -0.12475340068340302, -0.1604919284582138]; [8.325037956237793, 5.417356442194432e-05, 0.017083806917071342]
1657708875524089400; True; [28.979936599731445, -12.895030975341797, 0.3018641173839569, -97.06515502929688, 0.2506474256515503, -0.1629333347082138]; [7.470959663391113, 0.0017407333943992853, -0.021678900346159935]; True; [-29.15444564819336, -13.100333213806152, 0.30214470624923706, -87.00262451171875, -0.12475340068340302, -0.1604919284582138]; [8.325037956237793, 5.417356442194432e-05, 0.017083806917071342]
1657708875535027000; True; [28.979936599731445, -12.895030975341797, 0.3018641173839569, -97.06515502929688, 0.2506474256515503, -0.1629333347082138]; [7.470959663391113, 0.0017407333943992853, -0.021678900346159935]; True; [-29.15444564819336, -13.100333213806152, 0.30214470624923706, -87.00262451171875, -0.12475340068340302, -0.1604919284582138]; [8.325037956237793, 5.417356442194432e-05, 0.017083806917071342]
1657708875545914000; True; [28.979936599731445, -12.895030975341797, 0.3018641173839569, -97.06515502929688, 0.2506474256515503, -0.1629333347082138]; [7.470959663391113, 0.0017407333943992853, -0.021678900346159935]; True; [-29.15444564819336, -13.100333213806152, 0.30214470624923706, -87.00262451171875, -0.12475340068340302, -0.1604919284582138]; [8.325037956237793, 5.417356442194432e-05, 0.017083806917071342]
1657708875556826200; True; [28.979936599731445, -12.895030975341797, 0.3018641173839569, -97.06515502929688, 0.2506474256515503, -0.1629333347082138]; [7.470959663391113, 0.0017407333943992853, -0.021678900346159935]; True; [-29.15444564819336, -13.100333213806152, 0.30214470624923706, -87.00262451171875, -0.12475340068340302, -0.1604919284582138]; [8.325037956237793, 5.417356442194432e-05, 0.017083806917071342]
1657708875567737900; True; [28.906394958496094, -13.489994049072266, 0.30281785130500793, -97.08531951904297, 0.30997446179389954, -0.1626891940832138]; [7.309108734130859, 0.0019314956152811646, -0.030544117093086243]; True; [-29.120790481567383, -13.743069648742676, 0.30170202255249023, -87.002685546875, -0.12676148116588593, -0.1599425971508026]; [8.323455810546875, 4.848693060921505e-05, 0.020450973883271217]
1657708875578650700; True; [28.906394958496094, -13.489994049072266, 0.30281785130500793, -97.08531951904297, 0.30997446179389954, -0.1626891940832138]; [7.309108734130859, 0.0019314956152811646, -0.030544117093086243]; True; [-29.120790481567383, -13.743069648742676, 0.30170202255249023, -87.002685546875, -0.12676148116588593, -0.1599425971508026]; [8.323455810546875, 4.848693060921505e-05, 0.020450973883271217]
1657708875589562000; True; [28.906394958496094, -13.489994049072266, 0.30281785130500793, -97.08531951904297, 0.30997446179389954, -0.1626891940832138]; [7.309108734130859, 0.0019314956152811646, -0.030544117093086243]; True; [-29.120790481567383, -13.743069648742676, 0.30170202255249023, -87.002685546875, -0.12676148116588593, -0.1599425971508026]; [8.323455810546875, 4.848693060921505e-05, 0.020450973883271217]
1657708875600474400; True; [28.906394958496094, -13.489994049072266, 0.30281785130500793, -97.08531951904297, 0.30997446179389954, -0.1626891940832138]; [7.309108734130859, 0.0019314956152811646, -0.030544117093086243]; True; [-29.120790481567383, -13.743069648742676, 0.30170202255249023, -87.002685546875, -0.12676148116588593, -0.1599425971508026]; [8.323455810546875, 4.848693060921505e-05, 0.020450973883271217]
